Entry,Drying,Purpose,Shape,First materials,Second materials,Modification,First material class,Second materials class,Modification class,Gelation class,Solvent class,Process,Gelation mechanism,Final solvent,Drying details,Post drying treatment,Post-drying cross-linking,Envelope density g/cm3,Porosity,BET surface area m2/g,BJH pore size nm,BJH pore volume (total) cm3/g,compression elastic modulus MPa,SEM,Thermal conductivity W/(m K),Thermal method,Thermal method detail,,
64,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 50),Chemical (polymerization),Acetone,SCD,,,0.08,,,,,,Mesoporous (nanoparticulate),0.016,Transient,Hot wire,,
65,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 50),Chemical (polymerization),Acetone,SCD,,,0.12,,,,,,Mesoporous (nanoparticulate),0.014,Transient,Hot wire,,
66,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 50),Chemical (polymerization),Acetone,SCD,,,0.18,,,,,,Mesoporous (nanoparticulate),0.015,Transient,Hot wire,,
67,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 50),Chemical (polymerization),Acetone,SCD,,,0.28,,,,,,Mesoporous (nanoparticulate),0.019,Transient,Hot wire,,
68,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.06,,,,,,Mesoporous (nanoparticulate),0.02,Transient,Hot wire,,
69,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.08,,,,,,Mesoporous (nanoparticulate),0.016,Transient,Hot wire,,
70,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.13,,,,,,Mesoporous (nanoparticulate),0.014,Transient,Hot wire,,
71,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.16,,,,,,Mesoporous (nanoparticulate),0.012,Transient,Hot wire,,
72,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.3,,,,,,Mesoporous (nanoparticulate),0.018,Transient,Hot wire,,
73,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,,,0.08,,,,,,Mesoporous (nanoparticulate),0.019,Transient,Hot wire,,
